og_image,updated_image,description_1,description_2,description_3,gold_standard,img_choice,ans_1,ans_2,ans_3,ans_gold_standard,worker_id,set,group
https://i.postimg.cc/3wvyVHpd/Avatar-Maker.png,https://i.postimg.cc/7ZcGKL5F/Avatar-Maker-1.png,Change the mouth to smile,Change the eye shape to be bigger,Change the eyebrows to be thicker,Change the eyebrow shape,https://i.postimg.cc/7ZcGKL5F/Avatar-Maker-1.png,FALSE,FALSE,TRUE,TRUE,A4702NGD,1,1
https://i.postimg.cc/3wvyVHpd/Avatar-Maker.png,https://i.postimg.cc/ydCJzrXn/Avatar-Maker-2.png,Change the mouth to frown,Change the eyebrows to arch up,Change the eyebrows to be thicker,Change the eye shape to be bigger,https://i.postimg.cc/ydCJzrXn/Avatar-Maker-2.png,FALSE,TRUE,FALSE,TRUE,A859260N,1,2
https://i.postimg.cc/3wvyVHpd/Avatar-Maker.png,https://i.postimg.cc/vB748L0y/Avatar-Maker-3.png,Change the eyebrows to point down,Change the eye shape to be bigger,Change the eyebrows to be thicker,Change the mouth to smile with teeth,https://i.postimg.cc/vB748L0y/Avatar-Maker-3.png,TRUE,FALSE,TRUE,FALSE,A95C492H,1,3
https://i.postimg.cc/3wvyVHpd/Avatar-Maker.png,https://i.postimg.cc/XvLMVr9h/Avatar-Maker-4.png,Change the mouth to smile with teeth,Change the eye shape to be bigger,Change the eyebrow shape,Change the eyebrows to be thicker,https://i.postimg.cc/XvLMVr9h/Avatar-Maker-4.png,FALSE,TRUE,TRUE,TRUE,A567002G,1,4
,,,,,Â ,,,,,,,,
https://i.postimg.cc/3wvyVHpd/Avatar-Maker.png,https://i.postimg.cc/2yqgFTgR/Avatar-Maker-5.png,Change the eyebrow shape,Change the eye shape to be bigger,Change the eyebrows to be thicker,Change the mouth to smile with teeth,https://i.postimg.cc/2yqgFTgR/Avatar-Maker-5.png,FALSE,TRUE,FALSE,TRUE,A27T5414,1,5
,,,,,,,,,,,,,
https://i.postimg.cc/3wvyVHpd/Avatar-Maker.png,https://i.postimg.cc/FRHM1hZK/Avatar-Maker-6.png,Change the mouth to smile with teeth,Change the eye shape to be smaller,Change the eyebrows to be thicker,Change the eyebrow shape,https://i.postimg.cc/FRHM1hZK/Avatar-Maker-6.png,TRUE,TRUE,TRUE,FALSE,A623210F4,1,6
,,,,,,,,,,,,,
https://i.postimg.cc/3wvyVHpd/Avatar-Maker.png,https://i.postimg.cc/fLq6912f/Avatar-Maker-7.png,Change the mouth to smile,Change the eye shape to be bigger,Change the eyebrow thickness,Change the eyebrow shape,https://i.postimg.cc/fLq6912f/Avatar-Maker-7.png,TRUE,TRUE,TRUE,TRUE,A7Y866G3,1,7
,,,,,,,,,,,,,
,,,,,,,,,,,,,
https://i.postimg.cc/kGqP9Wpk/Avatar-Maker.png,https://i.postimg.cc/0yBvmMzw/Avatar-Maker-1.png,Change the mouth to frown,Change the eye shape to be bigger,Change the eyebrows to be thinner,Change the eyebrows to arch up,https://i.postimg.cc/0yBvmMzw/Avatar-Maker-1.png,TRUE,FALSE,FALSE,FALSE,A990FNJ5,2,1
https://i.postimg.cc/kGqP9Wpk/Avatar-Maker.png,https://i.postimg.cc/Zn77g3tP/Avatar-Maker-2.png,Change the mouth to smile,Change the eye shape to be bigger,Change the eyebrow thickness,Add more eyelashes,https://i.postimg.cc/Zn77g3tP/Avatar-Maker-2.png,FALSE,TRUE,FALSE,TRUE,A0800GRE,2,2
https://i.postimg.cc/kGqP9Wpk/Avatar-Maker.png,https://i.postimg.cc/cHqN9pM1/Avatar-Maker-3.png,Change the eyebrow shape,Change the eye shape to be bigger,Change the eyebrow thickness,Change the mouth to smile,https://i.postimg.cc/cHqN9pM1/Avatar-Maker-3.png,FALSE,FALSE,FALSE,TRUE,A5001038,2,3
https://i.postimg.cc/kGqP9Wpk/Avatar-Maker.png,https://i.postimg.cc/85hgqZtR/Avatar-Maker-4.png,Change the mouth to frown,Change the eye shape to be bigger,Change the eyebrows to be thinner,Change the eyebrows to arch up,https://i.postimg.cc/85hgqZtR/Avatar-Maker-4.png,TRUE,FALSE,TRUE,FALSE,A4421671,2,4
,,,,,,,,,,,,,
https://i.postimg.cc/kGqP9Wpk/Avatar-Maker.png,https://i.postimg.cc/J75Wxdym/Avatar-Maker-5.png,Change the mouth to smile,Change the eyebrows to point down,Change the eyebrows to be thinner,Change the eye shape to be bigger,https://i.postimg.cc/J75Wxdym/Avatar-Maker-5.png,TRUE,FALSE,FALSE,TRUE,A34567NV,2,5
,,,,,,,,,,,,,
https://i.postimg.cc/kGqP9Wpk/Avatar-Maker.png,https://i.postimg.cc/WbpcH6rZ/Avatar-Maker-6.png,Change the mouth to frown,Change the eye shape to be bigger,Change the eyebrows to be thicker,Change the eyebrows to arch up,https://i.postimg.cc/WbpcH6rZ/Avatar-Maker-6.png,TRUE,TRUE,FALSE,FALSE,A0924RNB,2,6
,,,,,,,,,,,,,
https://i.postimg.cc/kGqP9Wpk/Avatar-Maker.png,https://i.postimg.cc/j2c0jLVC/Avatar-Maker-7.png,Change the mouth to smile,Change the eye shape to be bigger,Change the eyebrows to be thinner,Change the eyebrows to arch up,https://i.postimg.cc/j2c0jLVC/Avatar-Maker-7.png,TRUE,TRUE,TRUE,TRUE,A49UBER4,2,7
,,,,,,,,,,,,,
,,,,,,,,,,,,,
https://i.postimg.cc/PqJbxqcJ/Avatar-Maker.png,https://i.postimg.cc/xTG3phMf/Avatar-Maker-1.png,Change the mouth to frown,Change the eye shape to be smaller,Change the eyebrows to be thinner,Change the eyebrows to point down,https://i.postimg.cc/xTG3phMf/Avatar-Maker-1.png,FALSE,FALSE,FALSE,TRUE,A9835HWT,3,1
https://i.postimg.cc/PqJbxqcJ/Avatar-Maker.png,https://i.postimg.cc/L8HBcD3z/Avatar-Maker-2.png,Change the mouth to smile,Change the eyebrow shape to arch up,Change the eyebrows to be thicker,Change the eye shape to be bigger,https://i.postimg.cc/L8HBcD3z/Avatar-Maker-2.png,FALSE,FALSE,FALSE,TRUE,A093IOJ13,3,2
https://i.postimg.cc/PqJbxqcJ/Avatar-Maker.png,https://i.postimg.cc/Fz50DVKk/Avatar-Maker-3.png,Change the eyebrow shape,Change the eye shape to be smaller,Change the eyebrows to be thicker,Change the mouth to frown,https://i.postimg.cc/Fz50DVKk/Avatar-Maker-3.png,FALSE,FALSE,FALSE,TRUE,A95UHI3FB,3,3
https://i.postimg.cc/PqJbxqcJ/Avatar-Maker.png,https://i.postimg.cc/GmqJdDX6/Avatar-Maker-4.png,Change the mouth to frown,Change the eye shape to be bigger,Change the eyebrows to be thinner,Change the eyebrows to point down,https://i.postimg.cc/GmqJdDX6/Avatar-Maker-4.png,FALSE,TRUE,FALSE,TRUE,A63BH541,3,4
,,,,,,,,,,,,,
https://i.postimg.cc/PqJbxqcJ/Avatar-Maker.png,https://i.postimg.cc/BvzT109g/Avatar-Maker-5.png,Change the mouth to frown,Change the eyebrow shape to point down,Change the eyebrows to be thicker,Change the eye shape to be smaller,https://i.postimg.cc/BvzT109g/Avatar-Maker-5.png,TRUE,FALSE,FALSE,TRUE,A9KBC73T,3,5
,,,,,,,,,,,,,
https://i.postimg.cc/PqJbxqcJ/Avatar-Maker.png,https://i.postimg.cc/G2skF5b1/Avatar-Maker-6.png,Change the mouth to frown,Change the eye shape to be smaller,Change the eyebrows to be thinner,Change the eyebrows to point down,https://i.postimg.cc/G2skF5b1/Avatar-Maker-6.png,TRUE,FALSE,TRUE,TRUE,A81033BG,3,6
,,,,,,,,,,,,,
https://i.postimg.cc/PqJbxqcJ/Avatar-Maker.png,https://i.postimg.cc/rs1xbRdn/Avatar-Maker-7.png,Change the mouth to frown,Change the eye shape to be bigger,Change the eyebrows to be thinner,Change the eyebrows to point down,https://i.postimg.cc/rs1xbRdn/Avatar-Maker-7.png,TRUE,TRUE,TRUE,TRUE,AP1QASA,3,7
,,,,,,,,,,,,,
,,,,,,,,,,,,,
https://i.postimg.cc/SspKPTW4/Avatar-Maker.png,https://i.postimg.cc/tRNsKjSM/Avatar-Maker-1.png,Change the mouth to frown,Change the eye shape to be smaller,Change the eyebrows to be thinner,Change the eyebrows to point down,https://i.postimg.cc/tRNsKjSM/Avatar-Maker-1.png,FALSE,FALSE,FALSE,TRUE,A589UTH,4,1
https://i.postimg.cc/SspKPTW4/Avatar-Maker.png,https://i.postimg.cc/hPCfG0q8/Avatar-Maker-2.png,Change the mouth to frown,Change the eyebrow shape to arch up,Change the eyebrows to be thicker,Change the eye shape,https://i.postimg.cc/hPCfG0q8/Avatar-Maker-2.png,TRUE,TRUE,FALSE,FALSE,AR32QHMG,4,2
https://i.postimg.cc/SspKPTW4/Avatar-Maker.png,https://i.postimg.cc/ncVXZPNc/Avatar-Maker-3.png,Change the eyebrows to arch up,Change the eye shape to be bigger,Change the eyebrow thickness,Change the mouth shape to be neutral,https://i.postimg.cc/ncVXZPNc/Avatar-Maker-3.png,TRUE,FALSE,FALSE,FALSE,A9OJWBG,4,3
https://i.postimg.cc/SspKPTW4/Avatar-Maker.png,https://i.postimg.cc/HkVj87pq/Avatar-Maker-4.png,Change the mouth to smile,Change the eye shape to be smaller,Change the eyebrows to be thicker,Change the eyebrows to point down,https://i.postimg.cc/HkVj87pq/Avatar-Maker-4.png,FALSE,FALSE,FALSE,FALSE,AO08H344X,4,4
,,,,,,,,,,,,,
https://i.postimg.cc/SspKPTW4/Avatar-Maker.png,https://i.postimg.cc/DzGZBk45/Avatar-Maker-5.png,Change the mouth to neutral,Change the eyebrow shape to point down,Change the eyebrow thickness,Change the eye shape,https://i.postimg.cc/DzGZBk45/Avatar-Maker-5.png,TRUE,TRUE,TRUE,FALSE,A737584N,4,5
,,,,,,,,,,,,,
https://i.postimg.cc/SspKPTW4/Avatar-Maker.png,https://i.postimg.cc/d1m0c2By/Avatar-Maker-6.png,Change the mouth to neutral,Change the eye shape to be bigger,Change the eyebrows to be thicker,Change the eyebrows to point down,https://i.postimg.cc/d1m0c2By/Avatar-Maker-6.png,TRUE,FALSE,FALSE,TRUE,A11030BG,4,6
,,,,,,,,,,,,,
https://i.postimg.cc/SspKPTW4/Avatar-Maker.png,https://i.postimg.cc/rw3s1FsK/Avatar-Maker-7.png,Change the mouth to neutral,Change the eye shape,Change the eyebrows to be thicker,Change the eyebrows to point down,https://i.postimg.cc/rw3s1FsK/Avatar-Maker-7.png,TRUE,TRUE,FALSE,TRUE,A09I64RYN,4,7
,,,,,,,,,,,,,
,,,,,,,,,,,,,
https://i.postimg.cc/mkmCBfwC/Avatar-Maker.png,https://i.postimg.cc/Kv9DyLqw/Avatar-Maker-1.png,Change the mouth to smile,Change the eye shape to be bigger,Change the eyebrows to be thicker,Change the eyebrows to arch up,https://i.postimg.cc/Kv9DyLqw/Avatar-Maker-1.png,FALSE,FALSE,FALSE,TRUE,A9801124,5,1
https://i.postimg.cc/mkmCBfwC/Avatar-Maker.png,https://i.postimg.cc/vZcL8BCB/Avatar-Maker-2.png,Change the mouth to smile,Change the eyebrow shape to arch up,Change the eyebrows to be thicker,Change the eye shape to be smaller,https://i.postimg.cc/vZcL8BCB/Avatar-Maker-2.png,FALSE,FALSE,FALSE,TRUE,ARE53Y,5,2
https://i.postimg.cc/mkmCBfwC/Avatar-Maker.png,https://i.postimg.cc/QdwgFDrq/Avatar-Maker-3.png,Change the eyebrow shape,Change the eye shape to be smaller,Change the eyebrows to be thicker,Change the mouth to smile with teeth,https://i.postimg.cc/QdwgFDrq/Avatar-Maker-3.png,FALSE,FALSE,FALSE,TRUE,A7532J65G,5,3
https://i.postimg.cc/mkmCBfwC/Avatar-Maker.png,https://i.postimg.cc/mr9YMnLW/Avatar-Maker-4.png,Change the mouth to frown,Change the eye shape to be smaller,Change the eyebrows to be thinner,Change the eyebrows to arch up,https://i.postimg.cc/mr9YMnLW/Avatar-Maker-4.png,FALSE,TRUE,FALSE,TRUE,ATE0IMN2,5,4
,,,,,,,,,,,,,
https://i.postimg.cc/mkmCBfwC/Avatar-Maker.png,https://i.postimg.cc/JnWbQQ0D/Avatar-Maker-5.png,Change the mouth to smile with teeth,Change the eyebrow shape to point down,Change the eyebrows to be thinner,Change the eye shape to be smaller,https://i.postimg.cc/JnWbQQ0D/Avatar-Maker-5.png,TRUE,FALSE,FALSE,TRUE,AI8T4UQ,5,5
,,,,,,,,,,,,,
https://i.postimg.cc/mkmCBfwC/Avatar-Maker.png,https://i.postimg.cc/4yfVDNzX/Avatar-Maker-6.png,Change the mouth to smile with teeth,Change the eye shape to be smaller,Change the eyebrows to be thinner,Change the eyebrows to arch up,https://i.postimg.cc/4yfVDNzX/Avatar-Maker-6.png,TRUE,FALSE,FALSE,TRUE,A0096NR,5,6
,,,,,,,,,,,,,
https://i.postimg.cc/mkmCBfwC/Avatar-Maker.png,https://i.postimg.cc/4dbp2hH8/Avatar-Maker-7.png,Change the mouth to smile with teeth,Change the eye shape to be smaller,Change the eyebrows to be thinner,Change the eyebrows to arch up,https://i.postimg.cc/4dbp2hH8/Avatar-Maker-7.png,TRUE,TRUE,TRUE,TRUE,A52378MH,5,7